No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
310,The Punisher,2017,"Action,Crime,Drama",51,TV-MA,JetWilkinson,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","Frank makes a damning confession. A shootout leaves Sarah wondering what to believe. Rawlins goes in for the kill, once and for all.",9.5,NA,8511,NA,Marvel
311,The Punisher,2017,"Action,Crime,Drama",55,TV-MA,StephenSurjik,"JonBernthal,EbonMoss-Bachrach,BenBarnes,AmberRoseRevah","As the authorities close in, an exhausted but unbroken Frank vows to put an end to the war that has consumed his life.",9.2,NA,6877,NA,Marvel
312,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy goes to battle Ghost Rider at a terrible cost, and Coulson faces the new director, whose bold agenda surprises them all.",8.1,NA,2321,NA,Marvel
313,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,MagnusMartens,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson, Mack and Fitz try to locate and neutralize a rogue group looking to stop Inhuman registration worldwide; Simmons and Dr. Radcliffe have only a short time to save May before she succumbs to her illness.",8.3,NA,2230,NA,Marvel
314,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Ghost Rider's quest for vengeance brings him into an explosive confrontation with S.H.I.E.L.D., Coulson and Mack must rely on an unlikely ally in their time of desperate need; and Daisy ...                See full summary <U+00BB>",8.5,NA,2218,NA,Marvel
315,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,KateWoods,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Robbie Reyes struggles to control The Ghost Rider, S.H.I.E.L.D. infiltrates a high-security prison to unravel the secrets that haunt them all.",8.3,NA,2100,NA,Marvel
316,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The shocking origin story of Robbie's transition into Ghost Rider is revealed as the lives of Coulson and the team hang in the balance.,8.9,NA,2399,NA,Marvel
317,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the loss of half the team, the remaining members search for answers as the clock counts down for Ghost Rider.",8.9,NA,2242,NA,Marvel
318,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the lives of everyone in Los Angeles hanging in the balance, S.H.I.E.L.D. and Ghost Rider find themselves working together.",8.7,NA,2128,NA,Marvel
319,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Though Coulson and May are growing closer, Coulson remains unaware of the dark secret May is hiding beneath the surface. Meanwhile, Aida is unrelenting in her search for the Darkhold.",8.4,NA,2008,NA,Marvel
320,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Separated from their team, Coulson and Mack discover a shocking secret about Mace, leaving all of S.H.I.E.L.D. in a precarious position.",8.2,NA,1968,NA,Marvel
